seqName,errors,warnings,failedGenes
"NC_045512.2:21563-25384 S [organism=Severe acute respiratory syndrome coronavirus 2] [GeneID=43740568] [chromosome=]","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF3a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF3a;ORF6;ORF7a;ORF8;ORF9b"
"3I|S131","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"7I|S132","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"71I|S133","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"72I|S134","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"5I|S135","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"15I|S136","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"71I|S137","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"71J|S138","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"39J|S139","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"55J|S140","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"56J|S141","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"2J|S144","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"44J|S145","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"1J|S146","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"6J|S146","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"11J|S147","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"50J|S148","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
"54J|S149","","When processing gene ""E"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""M"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""N"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF1b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF6"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF7a"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF8"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.;When processing gene ""ORF9b"": Unable to align: no seed matches. Note that this gene will not be included in the results of the sequence.","E;M;N;ORF1a;ORF1b;ORF6;ORF7a;ORF8;ORF9b"
